,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
140,,,16857940,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCCOc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '19.78', 'le': '0.37', 'lle': '6.02', 'sei': '7.89'}",CHEMBL3975466,,CHEMBL3975466,8.10,0,http://www.openphacts.org/units/Nanomolar,2818954,=,1,1,=,,IC50,nM,,7.943,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,8.1
141,,,16857941,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)n1cnnc1-c1cccc(N2Cc3ccc(OC[C@@H]4CN(C)CCO4)cc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '18.28', 'le': '0.34', 'lle': '5.41', 'sei': '9.58'}",CHEMBL3946139,,CHEMBL3946139,8.20,0,http://www.openphacts.org/units/Nanomolar,2818953,=,1,1,=,,IC50,nM,,6.31,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,8.2
142,,,16857942,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COCCOc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)C)n1)C2,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '20.59', 'le': '0.38', 'lle': '4.99', 'sei': '9.83'}",CHEMBL3966978,,CHEMBL3966978,8.10,0,http://www.openphacts.org/units/Nanomolar,2818952,=,1,1,=,,IC50,nM,,7.943,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,8.1
143,,,16857943,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)C)n1)C2,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '20.66', 'le': '0.38', 'lle': '3.93', 'sei': '10.66'}",CHEMBL3937245,,CHEMBL3937245,7.80,0,http://www.openphacts.org/units/Nanomolar,2818951,=,1,1,=,,IC50,nM,,15.85,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.8
144,,,16857944,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2CN1c1cccc(-c2nncn2CC2CCO2)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '17.56', 'le': '0.32', 'lle': '3.81', 'sei': '8.34'}",CHEMBL3955870,,CHEMBL3955870,6.10,0,http://www.openphacts.org/units/Nanomolar,2818950,=,1,1,=,,IC50,nM,,794.33,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,6.1
145,,,16857945,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(CC#N)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '22.36', 'le': '0.40', 'lle': '4.72', 'sei': '8.78'}",CHEMBL3928256,,CHEMBL3928256,7.70,0,http://www.openphacts.org/units/Nanomolar,2818949,=,1,1,=,,IC50,nM,,19.95,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.7
146,,,16857946,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(CF)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '23.42', 'le': '0.43', 'lle': '4.87', 'sei': '12.36'}",CHEMBL3925645,,CHEMBL3925645,7.90,0,http://www.openphacts.org/units/Nanomolar,2818948,=,1,1,=,,IC50,nM,,12.59,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.9
147,,,16857947,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(CCO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '21.18', 'le': '0.39', 'lle': '4.96', 'sei': '8.79'}",CHEMBL3953259,,CHEMBL3953259,7.40,0,http://www.openphacts.org/units/Nanomolar,2818947,=,1,1,=,,IC50,nM,,39.81,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.4
148,,,16857948,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,C[C@@H](CO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '22.36', 'le': '0.41', 'lle': '5.45', 'sei': '8.91'}",CHEMBL3934521,,CHEMBL3934521,7.50,0,http://www.openphacts.org/units/Nanomolar,2818946,=,1,1,=,,IC50,nM,,31.62,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.5
149,,,16857949,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,C[C@H](CO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '23.85', 'le': '0.44', 'lle': '5.95', 'sei': '9.51'}",CHEMBL3962015,,CHEMBL3962015,8.00,0,http://www.openphacts.org/units/Nanomolar,2818945,=,1,1,=,,IC50,nM,,10.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,8.0
150,,,16857950,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '23.10', 'le': '0.42', 'lle': '4.23', 'sei': '12.05'}",CHEMBL3943495,,CHEMBL3943495,7.70,0,http://www.openphacts.org/units/Nanomolar,2818944,=,1,1,=,,IC50,nM,,19.95,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.7
151,,,16857951,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@@H](C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '21.90', 'le': '0.40', 'lle': '3.83', 'sei': '11.42'}",CHEMBL3890544,,CHEMBL3890544,7.30,0,http://www.openphacts.org/units/Nanomolar,2818943,=,1,1,=,,IC50,nM,,50.12,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.3
152,,,16857952,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '24.74', 'le': '0.45', 'lle': '4.82', 'sei': '12.36'}",CHEMBL3952214,,CHEMBL3952214,7.90,1,http://www.openphacts.org/units/Nanomolar,2818942,=,1,1,=,,IC50,nM,,12.59,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.9
153,,,16857953,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(F)c(C(=O)Nc2ccccn2)cc1-n1cnc(C2CC2)c1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '15.46', 'le': '0.28', 'lle': '1.36', 'sei': '8.69'}",CHEMBL3981026,,CHEMBL3981026,5.20,0,http://www.openphacts.org/units/Nanomolar,2818941,=,1,1,=,,IC50,nM,,6309.57,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,5.2
154,,,16857954,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2)n1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '20.82', 'le': '0.38', 'lle': '3.23', 'sei': '8.80'}",CHEMBL3960900,,CHEMBL3960900,6.40,0,http://www.openphacts.org/units/Nanomolar,2818940,=,1,1,=,,IC50,nM,,398.11,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,6.4
155,,,16857955,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(F)c1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '21.51', 'le': '0.40', 'lle': '3.68', 'sei': '10.04'}",CHEMBL3891901,,CHEMBL3891901,7.30,0,http://www.openphacts.org/units/Nanomolar,2818939,=,1,1,=,,IC50,nM,,50.12,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,7.3
156,,,16857956,[],CHEMBL3879746,Inhibition of recombinant human N-terminal GST-tagged ASK1 catalytic domain (654 to 971 residues) expressed in baculovirus infected sf21 cells using STK3 as substrate after 60 mins by HTRF assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,,,CHEMBL3877336,ACS Med Chem Lett,2017.0,"{'bei': '18.63', 'le': '0.34', 'lle': '3.62', 'sei': '9.17'}",CHEMBL3916717,SELONSERTIB,CHEMBL3916717,8.30,0,http://www.openphacts.org/units/Nanomolar,2818938,=,1,1,=,,IC50,nM,,5.012,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,pIC50,,UO_0000065,,8.3
157,,259307,17641835,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(O)c1ccc(C(=O)Nc2cc3c(ccn3CC3CC3)cn2)cc1,,,CHEMBL3639127,,2014.0,"{'bei': '20.29', 'le': '0.37', 'lle': '3.16', 'sei': '10.56'}",CHEMBL3644035,,CHEMBL3644035,7.09,0,http://www.openphacts.org/units/Nanomolar,2517054,=,37,1,=,,IC50,nM,,81.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,81.0
158,,259308,17641836,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(O)c1ccc(C(=O)Nc2cc3c(cn2)c(Br)cn3CC2CC2)cc1,,,CHEMBL3639127,,2014.0,"{'bei': '19.90', 'le': '0.43', 'lle': '3.83', 'sei': '12.69'}",CHEMBL3644036,,CHEMBL3644036,8.52,0,http://www.openphacts.org/units/Nanomolar,2517055,=,37,1,=,,IC50,nM,,3.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,3.0
159,,259309,17641837,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(Br)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '21.19', 'le': '0.47', 'lle': '4.22', 'sei': '12.69'}",CHEMBL3644037,,CHEMBL3644037,8.52,0,http://www.openphacts.org/units/Nanomolar,2517056,=,37,1,=,,IC50,nM,,3.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,3.0
160,,259310,17641838,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(C)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '24.17', 'le': '0.45', 'lle': '4.31', 'sei': '12.14'}",CHEMBL3644038,,CHEMBL3644038,8.15,0,http://www.openphacts.org/units/Nanomolar,2517057,=,37,1,=,,IC50,nM,,7.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,7.0
161,,259311,17641839,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CCn1ccc2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '21.39', 'le': '0.40', 'lle': '4.75', 'sei': '8.31'}",CHEMBL3894807,,CHEMBL3894807,7.26,0,http://www.openphacts.org/units/Nanomolar,2517058,=,37,1,=,,IC50,nM,,55.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,55.0
162,,259312,17641840,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(Cl)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '21.99', 'le': '0.43', 'lle': '5.06', 'sei': '9.41'}",CHEMBL3955000,,CHEMBL3955000,8.22,0,http://www.openphacts.org/units/Nanomolar,2517059,=,37,1,=,,IC50,nM,,6.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,6.0
163,,259313,17641841,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cc(Br)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '21.38', 'le': '0.47', 'lle': '4.48', 'sei': '12.36'}",CHEMBL3644041,,CHEMBL3644041,8.30,0,http://www.openphacts.org/units/Nanomolar,2517060,=,37,1,=,,IC50,nM,,5.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,5.0
164,,259314,17641842,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cc(Br)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '20.17', 'le': '0.45', 'lle': '5.36', 'sei': '9.33'}",CHEMBL3916273,,CHEMBL3916273,8.15,0,http://www.openphacts.org/units/Nanomolar,2517061,=,37,1,=,,IC50,nM,,7.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,7.0
165,,259315,17641843,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,C[C@](O)(CO)c1ccc(C(=O)Nc2cc3c(ccn3C3CC3)cn2)cc1,,,CHEMBL3639127,,2014.0,"{'bei': '20.38', 'le': '0.38', 'lle': '4.34', 'sei': '8.20'}",CHEMBL3644043,,CHEMBL3644043,7.16,0,http://www.openphacts.org/units/Nanomolar,2517062,=,37,1,=,,IC50,nM,,69.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,69.0
166,,259316,17641844,[],CHEMBL3705518,"Scintillation Assay: The test compounds (2.5 μL) dissolved in DMSO were added to wells containing 37.5 μL of the reaction solution (25 mM HEPES (pH 7.5), 10 mM magnesium acetate, 1 mM DTT) including 30 ng of active ASK1 protein and 1 μg of myelin basic protein (Wako), and incubated at room temperature for 5 min. To start the reaction, 10 μL of ATP solution (2.5 μM ATP, 0.1 μCi [γ-32P]ATP) was added to wells. After incubating at room temperature for 30 min, the reaction was terminated by adding 50 μL of 20% TCA solution. The reaction solution was incubated at 4° C. for 30 min and an acid-insoluble fraction was transferred onto a GF/C filter (Packard) with Cell Harvester (Packard), and washed with 250 mM phosphoric acid. After drying at 45° C. for 60 min., 40 μL of Microscint 0 (Packard) was added and the radioactivity was measured with TopCount (Packard).",B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(C)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,,,CHEMBL3639127,,2014.0,"{'bei': '22.22', 'le': '0.41', 'lle': '5.03', 'sei': '8.99'}",CHEMBL3910870,,CHEMBL3910870,7.85,0,http://www.openphacts.org/units/Nanomolar,2517063,=,37,1,=,,IC50,nM,,14.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,14.0
